action_canonical_key,action_index,action_type,actor,actor_update_dropped,actor_update_keep,actor_update_margin_threshold,actor_update_support_mode,actor_update_topk,advantage_normalized,advantage_raw,behavior_temperature,checkpoint_path,checkpoint_sha256,clip_eps,config_key,config_key_label,config_path,delta_clip,delta_clip_coef,delta_l2_coef,delta_needed_to_flip_top1,delta_support_margin_threshold,delta_support_mode,delta_support_topk,entropy_coef,episode_id,final_rank,iteration,legal_count,low_rank_flip_penalty_coef,low_rank_flip_topk,lr,old_log_prob,old_value,opponent_mode,outside_support_delta_mode,pilot_config_id,prior_top1_margin_to_second,prior_top1_prob,ratio_mode,rerun_config_id,return,reward,rule_kl_coef,rule_score_scale,rule_score_scale_version,selected_is_prior_top1,selected_prior_prob,selected_prior_rank,source_config_id,step_index,support_policy_mode,teacher_best_action_canonical_key,teacher_best_action_index,teacher_best_prior_rank,teacher_confidence,teacher_confidence_entropy_pass,teacher_confidence_gate,teacher_confidence_gate_keep,teacher_confidence_margin_pass,teacher_confidence_prior_agree_pass,teacher_contract_version,teacher_entropy,teacher_entropy_max,teacher_margin_min,teacher_margin_top1_to_second,teacher_prior_agree,teacher_prior_agree_min,teacher_prior_topk_action_indices_json,teacher_prior_topk_actions_json,teacher_prior_topk_logits_json,teacher_rule_top1_rank,teacher_source,teacher_target_type,teacher_temperature,teacher_topk,teacher_topk_probs_json,teacher_topk_scores_json,teacher_version,terminal_reward,topk_ranking_aux_coef,topk_ranking_aux_mode,topk_ranking_k,update_epochs,weak_margin_flip_penalty_coef,weak_margin_threshold
0|tile=0|consumed=|from=-1|flags=0,0,0,0,False,True,0.75,topk,3,0.8244441747665405,0.3471105396747589,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,ba49043b,1,0,12,0.0,3,0.0023,-1.3407729864120483,-0.1358184814453125,rulebase,zero,0,3.0,0.6472995281219482,tempered_current_logits,0,0.2112920582294464,0.0,0.0,0.25,keqingrl_rule_score_scale_v1,False,0.03222714364528656,2,93,0,support-only-topk,0|tile=27|consumed=|from=-1|flags=0,10,1,0.6433590123426782,True,False,True,True,True,keqingrl_topk_teacher_v1,0.39181017875671387,1000000000.0,0.0,0.18764066696166992,True,0.0,"[10,0,1]","[""0|tile=27|consumed=|from=-1|flags=0"",""0|tile=0|consumed=|from=-1|flags=0"",""0|tile=10|consumed=|from=-1|flags=0""]","[0.0,-3.0,-3.00099993]",1.0,mortal-discard-q,topk_distribution,0.1,3,"[0.86718845,0.13280071,1.09e-05]","[-0.64255887,-0.83019954,-1.77095163]",mortal_discard_teacher_v1,0.5,5.0,teacher-ce,3,5,0.0,0.75
0|tile=10|consumed=|from=-1|flags=0,0,0,0,False,True,0.75,topk,3,0.872112512588501,0.38562291860580444,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,topk,3,0.01,ba49043b,1,0,12,0.0,3,0.0023,-0.7406497001647949,-0.15504969656467438,rulebase,zero,0,3.000999927520752,0.6475072503089905,tempered_current_logits,0,0.23057322204113007,0.0,0.0,0.25,keqingrl_rule_score_scale_v1,True,0.6475072503089905,1,93,16,support-only-topk,0|tile=10|consumed=|from=-1|flags=0,0,1,0.9999998977329678,True,False,True,True,True,keqingrl_topk_teacher_v1,1.1235182029167845e-07,1000000000.0,0.0,1.8943082094192505,True,0.0,"[0,1,2]","[""0|tile=10|consumed=|from=-1|flags=0"",""0|tile=19|consumed=|from=-1|flags=0"",""0|tile=21|consumed=|from=-1|flags=0""]","[0.0,-3.00099993,-3.00200009]",1.0,mortal-discard-q,topk_distribution,0.1,3,"[1.0,1e-08,0.0]","[-0.49212396,-2.38643217,-3.54698658]",mortal_discard_teacher_v1,0.5,5.0,teacher-ce,3,5,0.0,0.75
0|tile=19|consumed=|from=-1|flags=0,1,0,0,False,True,0.75,topk,3,0.897470235824585,0.4061100482940674,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,topk,3,0.01,ba49043b,1,0,12,0.0,3,0.0023,-1.3408130407333374,-0.15523134171962738,rulebase,zero,0,3.000999927520752,0.6475072503089905,tempered_current_logits,0,0.2508786916732788,0.0,0.0,0.25,keqingrl_rule_score_scale_v1,False,0.03220526874065399,2,93,32,support-only-topk,0|tile=0|consumed=|from=-1|flags=1,0,1,0.999999999999987,True,False,True,True,True,keqingrl_topk_teacher_v1,1.4282755953962632e-14,1000000000.0,0.0,3.5199086666107178,True,0.0,"[0,1,2]","[""0|tile=0|consumed=|from=-1|flags=1"",""0|tile=19|consumed=|from=-1|flags=0"",""0|tile=21|consumed=|from=-1|flags=0""]","[0.0,-3.00099993,-3.00200009]",1.0,mortal-discard-q,topk_distribution,0.1,3,"[1.0,0.0,0.0]","[0.6286431,-2.89126563,-3.66722679]",mortal_discard_teacher_v1,0.5,5.0,teacher-ce,3,5,0.0,0.75
0|tile=0|consumed=|from=-1|flags=0,0,0,0,False,True,0.75,topk,3,0.8765644431114197,0.3892197906970978,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,ba49043b,1,0,12,0.0,3,0.0023,-1.3407819271087646,-0.11888007819652557,rulebase,zero,0,3.0,0.6472995281219482,tempered_current_logits,0,0.2703397274017334,0.0,0.0,0.25,keqingrl_rule_score_scale_v1,False,0.03222714364528656,2,93,48,support-only-topk,0|tile=0|consumed=|from=-1|flags=0,0,2,0.5627003346850658,True,False,True,True,True,keqingrl_topk_teacher_v1,0.4804227948188782,1000000000.0,0.0,0.18617033958435059,False,0.0,"[10,0,1]","[""0|tile=27|consumed=|from=-1|flags=0"",""0|tile=0|consumed=|from=-1|flags=0"",""0|tile=19|consumed=|from=-1|flags=0""]","[0.0,-3.0,-3.00099993]",3.0,mortal-discard-q,topk_distribution,0.1,3,"[0.01870282,0.84930813,0.131989]","[-0.43062341,-0.04904866,-0.235219]",mortal_discard_teacher_v1,0.5,5.0,teacher-ce,3,5,0.0,0.75
0|tile=19|consumed=|from=-1|flags=1,0,0,0,False,True,0.75,topk,3,1.0004308223724365,0.48929446935653687,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,ba49043b,1,0,11,0.0,3,0.0023,-1.3407515287399292,-0.19449004530906677,rulebase,zero,0,3.0,0.6686332821846008,tempered_current_logits,0,0.2948044240474701,0.0,0.0,0.25,keqingrl_rule_score_scale_v1,False,0.033289290964603424,2,93,64,support-only-topk,0|tile=27|consumed=|from=-1|flags=0,9,1,0.9994991674200014,True,False,True,True,True,keqingrl_topk_teacher_v1,0.0005502208368852735,1000000000.0,0.0,0.9893388748168945,True,0.0,"[9,0,1]","[""0|tile=27|consumed=|from=-1|flags=0"",""0|tile=19|consumed=|from=-1|flags=1"",""0|tile=21|consumed=|from=-1|flags=0""]","[0.0,-3.0,-3.00099993]",1.0,mortal-discard-q,topk_distribution,0.1,3,"[0.99994946,5.05e-05,0.0]","[-0.10674345,-1.09608233,-2.25824499]",mortal_discard_teacher_v1,0.5,5.0,teacher-ce,3,5,0.0,0.75
0|tile=11|consumed=|from=-1|flags=1,1,0,0,False,True,0.75,topk,3,1.0911295413970947,0.562572181224823,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,topk,3,0.01,ba49043b,1,0,12,0.0,3,0.0023,-1.3409744501113892,-0.23963914811611176,rulebase,zero,0,3.0,0.6472995281219482,tempered_current_logits,0,0.32293301820755005,0.0,0.0,0.25,keqingrl_rule_score_scale_v1,False,0.03219493851065636,3,93,80,support-only-topk,0|tile=19|consumed=|from=-1|flags=0,0,2,0.9670544591869553,True,False,True,True,True,keqingrl_topk_teacher_v1,0.03619437664747238,1000000000.0,0.0,0.512822151184082,False,0.0,"[10,0,1]","[""0|tile=27|consumed=|from=-1|flags=0"",""0|tile=19|consumed=|from=-1|flags=0"",""0|tile=11|consumed=|from=-1|flags=1""]","[0.0,-3.0,-3.00099993]",2.0,mortal-discard-q,topk_distribution,0.1,3,"[0.00589214,0.99410266,5.21e-06]","[-0.4147597,0.09806244,-1.1177752]",mortal_discard_teacher_v1,0.5,5.0,teacher-ce,3,5,0.0,0.75
0|tile=21|consumed=|from=-1|flags=0,1,0,0,False,True,0.75,topk,3,1.1623722314834595,0.6201308965682983,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,topk,3,0.01,ba49043b,1,0,11,0.0,3,0.0023,-1.3408637046813965,-0.266191303730011,rulebase,zero,0,3.000999927520752,0.6688328385353088,tempered_current_logits,0,0.35393959283828735,0.0,0.0,0.25,keqingrl_rule_score_scale_v1,False,0.03326594829559326,2,93,96,support-only-topk,0|tile=19|consumed=|from=-1|flags=0,0,1,0.9999999999625343,True,False,True,True,True,keqingrl_topk_teacher_v1,4.1160231473158504e-11,1000000000.0,0.0,2.728259563446045,True,0.0,"[0,1,2]","[""0|tile=19|consumed=|from=-1|flags=0"",""0|tile=21|consumed=|from=-1|flags=0"",""0|tile=22|consumed=|from=-1|flags=0""]","[0.0,-3.00099993,-3.00200009]",1.0,mortal-discard-q,topk_distribution,0.1,3,"[1.0,0.0,0.0]","[1.01347435,-1.98967946,-1.71478522]",mortal_discard_teacher_v1,0.5,5.0,teacher-ce,3,5,0.0,0.75
0|tile=19|consumed=|from=-1|flags=0,0,0,0,False,True,0.75,topk,3,1.1982908248901367,0.6491503715515137,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,ba49043b,1,0,11,0.0,3,0.0023,-1.3407313823699951,-0.2627532482147217,rulebase,zero,0,3.0,0.668743908405304,tempered_current_logits,0,0.386397123336792,0.0,0.0,0.25,keqingrl_rule_score_scale_v1,False,0.03329479694366455,2,93,112,support-only-topk,0|tile=19|consumed=|from=-1|flags=0,0,2,0.9936642761338157,True,False,True,True,True,keqingrl_topk_teacher_v1,0.006960504222661257,1000000000.0,0.0,0.7052714228630066,False,0.0,"[4,0,1]","[""0|tile=7|consumed=|from=-1|flags=0"",""0|tile=19|consumed=|from=-1|flags=0"",""0|tile=22|consumed=|from=-1|flags=0""]","[0.0,-3.0,-3.00099993]",3.0,mortal-discard-q,topk_distribution,0.1,3,"[0.0,0.99913567,0.00086431]","[-0.80499619,1.13627768,0.43100625]",mortal_discard_teacher_v1,0.5,5.0,teacher-ce,3,5,0.0,0.75
0|tile=22|consumed=|from=-1|flags=0,0,0,0,False,True,0.75,topk,3,1.1690105199813843,0.625494122505188,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,ba49043b,1,0,11,0.0,3,0.0023,-1.3407701253890991,-0.2078222930431366,rulebase,zero,0,3.0,0.6687660813331604,tempered_current_logits,0,0.4176718294620514,0.0,0.0,0.25,keqingrl_rule_score_scale_v1,False,0.033295903354883194,2,93,128,support-only-topk,0|tile=22|consumed=|from=-1|flags=0,0,2,0.9985100280522474,True,False,True,True,True,keqingrl_topk_teacher_v1,0.0016369015211239457,1000000000.0,0.0,0.8685439229011536,False,0.0,"[3,0,1]","[""0|tile=7|consumed=|from=-1|flags=0"",""0|tile=22|consumed=|from=-1|flags=0"",""0|tile=5|consumed=|from=-1|flags=0""]","[0.0,-3.0,-3.00099993]",2.0,mortal-discard-q,topk_distribution,0.1,3,"[0.000169,0.99983096,0.0]","[-0.24361931,0.6249246,-1.62561357]",mortal_discard_teacher_v1,0.5,5.0,teacher-ce,3,5,0.0,0.75
0|tile=18|consumed=|from=-1|flags=1,0,0,0,False,True,0.75,topk,3,1.418045163154602,0.8266953229904175,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,topk,3,0.01,ba49043b,1,0,11,0.0,3,0.0023,-0.7406392097473145,-0.36768877506256104,rulebase,zero,0,3.000999927520752,0.6688328385353088,tempered_current_logits,0,0.45900654792785645,0.0,0.0,0.25,keqingrl_rule_score_scale_v1,True,0.6688328385353088,1,93,144,support-only-topk,0|tile=18|consumed=|from=-1|flags=1,0,1,0.994306461886143,True,False,True,True,True,keqingrl_topk_teacher_v1,0.006254991050809622,1000000000.0,0.0,0.7174692153930664,True,0.0,"[0,1,2]","[""0|tile=18|consumed=|from=-1|flags=1"",""0|tile=5|consumed=|from=-1|flags=0"",""0|tile=14|consumed=|from=-1|flags=0""]","[0.0,-3.00099993,-3.00200009]",1.0,mortal-discard-q,topk_distribution,0.1,3,"[0.99923491,0.0,0.00076514]","[0.7966311,-1.62100399,0.07916189]",mortal_discard_teacher_v1,0.5,5.0,teacher-ce,3,5,0.0,0.75
