action_canonical_key,action_index,action_type,actor,actor_update_dropped,actor_update_keep,actor_update_margin_threshold,actor_update_support_mode,actor_update_topk,advantage_normalized,advantage_raw,behavior_temperature,checkpoint_path,checkpoint_sha256,clip_eps,config_key,config_key_label,config_path,delta_clip,delta_clip_coef,delta_l2_coef,delta_needed_to_flip_top1,delta_support_margin_threshold,delta_support_mode,delta_support_topk,entropy_coef,episode_id,final_rank,iteration,legal_count,low_rank_flip_penalty_coef,low_rank_flip_topk,lr,old_log_prob,old_value,opponent_mode,outside_support_delta_mode,pilot_config_id,prior_top1_margin_to_second,prior_top1_prob,ratio_mode,rerun_config_id,return,reward,rule_kl_coef,rule_score_scale,rule_score_scale_version,selected_is_prior_top1,selected_prior_prob,selected_prior_rank,source_config_id,step_index,support_policy_mode,teacher_best_action_canonical_key,teacher_best_action_index,teacher_best_prior_rank,teacher_confidence,teacher_confidence_entropy_pass,teacher_confidence_gate,teacher_confidence_gate_keep,teacher_confidence_margin_pass,teacher_confidence_prior_agree_pass,teacher_contract_version,teacher_entropy,teacher_entropy_max,teacher_margin_min,teacher_margin_top1_to_second,teacher_prior_agree,teacher_prior_agree_min,teacher_prior_topk_action_indices_json,teacher_prior_topk_actions_json,teacher_prior_topk_logits_json,teacher_rule_top1_rank,teacher_source,teacher_target_type,teacher_temperature,teacher_topk,teacher_topk_probs_json,teacher_topk_scores_json,teacher_version,terminal_reward,topk_ranking_aux_coef,topk_ranking_aux_mode,topk_ranking_k,update_epochs,weak_margin_flip_penalty_coef,weak_margin_threshold
0|tile=28|consumed=|from=-1|flags=0,11,0,0,False,True,0.75,all,3,-1.0112212896347046,-0.7962552309036255,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,e32c5b3d,3,0,12,0.0,3,0.003,-0.7407752871513367,-0.07777795940637589,rulebase,zero,0,3.0,0.647278904914856,tempered_current_logits,0,-0.8740332126617432,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,True,0.647278904914856,1,93,0,support-only-topk,0|tile=28|consumed=|from=-1|flags=0,11,1,0.0589617123930698,False,True,False,False,True,keqingrl_topk_teacher_v1,1.0338362455368042,1.0,0.2,0.0,True,0.0,"[11,0,1]","[""0|tile=28|consumed=|from=-1|flags=0"",""0|tile=9|consumed=|from=-1|flags=0"",""0|tile=19|consumed=|from=-1|flags=0""]","[0.0,-3.0,-3.00099993]",1.0,rule-component-v1,topk_distribution,1.0,3,"[0.41350448,0.41350448,0.17299104]","[0.97142857,0.97142857,0.09999999]",action_feature_component_reranker_v1,-1.5,0.03,teacher-ce,3,8,0.0,0.75
0|tile=9|consumed=|from=-1|flags=0,0,0,0,False,True,0.75,all,3,-0.9014826416969299,-0.7022332549095154,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,e32c5b3d,3,0,12,0.0,3,0.003,-1.340738296508789,-0.2069115787744522,rulebase,zero,0,3.0,0.6472995281219482,tempered_current_logits,0,-0.9091448187828064,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03222714364528656,2,93,16,support-only-topk,0|tile=9|consumed=|from=-1|flags=0,0,2,0.06550295860556421,False,True,False,True,True,keqingrl_topk_teacher_v1,1.0266499519348145,1.0,0.2,0.6571428775787354,False,0.0,"[10,0,1]","[""0|tile=16|consumed=|from=-1|flags=0"",""0|tile=9|consumed=|from=-1|flags=0"",""0|tile=19|consumed=|from=-1|flags=0""]","[0.0,-3.0,-3.00099993]",2.0,rule-component-v1,topk_distribution,1.0,3,"[0.26680875,0.51474673,0.21844453]","[0.30000001,0.95714289,0.09999999]",action_feature_component_reranker_v1,-1.5,0.03,teacher-ce,3,8,0.0,0.75
0|tile=16|consumed=|from=-1|flags=0,10,0,0,False,True,0.75,all,3,-0.9495106339454651,-0.7433827519416809,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,e32c5b3d,3,0,12,0.0,3,0.003,-0.7407730221748352,-0.20293119549751282,rulebase,zero,0,3.0,0.6472995281219482,tempered_current_logits,0,-0.9463139772415161,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,True,0.6472995281219482,1,93,32,support-only-topk,0|tile=1|consumed=|from=-1|flags=1,0,2,0.013675059907802045,False,True,False,True,True,keqingrl_topk_teacher_v1,1.083588719367981,1.0,0.2,0.22499996423721313,False,0.0,"[10,0,1]","[""0|tile=16|consumed=|from=-1|flags=0"",""0|tile=1|consumed=|from=-1|flags=1"",""0|tile=19|consumed=|from=-1|flags=0""]","[0.0,-3.0,-3.00099993]",2.0,rule-component-v1,topk_distribution,1.0,3,"[0.32562119,0.40778279,0.26659608]","[0.30000001,0.52499998,0.09999999]",action_feature_component_reranker_v1,-1.5,0.03,teacher-ce,3,8,0.0,0.75
0|tile=1|consumed=|from=-1|flags=1,0,0,0,False,True,0.75,all,3,-0.9390270709991455,-0.7344006299972534,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,e32c5b3d,3,0,12,0.0,3,0.003,-1.3407490253448486,-0.24863336980342865,rulebase,zero,0,3.0,0.6474654674530029,tempered_current_logits,0,-0.9830340147018433,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03223540633916855,2,93,48,support-only-topk,0|tile=1|consumed=|from=-1|flags=1,0,2,0.03222163000437939,False,True,False,True,True,keqingrl_topk_teacher_v1,1.0632132291793823,1.0,0.2,0.4249999523162842,False,0.0,"[2,0,1]","[""0|tile=2|consumed=|from=-1|flags=0"",""0|tile=1|consumed=|from=-1|flags=1"",""0|tile=19|consumed=|from=-1|flags=0""]","[0.0,-3.0,-3.00099993]",2.0,rule-component-v1,topk_distribution,1.0,3,"[0.29865715,0.45682305,0.24451977]","[0.30000001,0.72499996,0.09999999]",action_feature_component_reranker_v1,-1.5,0.03,teacher-ce,3,8,0.0,0.75
0|tile=0|consumed=|from=-1|flags=1,0,0,0,False,True,0.75,all,3,-0.9893252849578857,-0.7774951457977295,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,e32c5b3d,3,0,13,0.0,3,0.003,-1.3407764434814453,-0.24441362917423248,rulebase,zero,0,3.0,0.6273627877235413,tempered_current_logits,0,-1.0219087600708008,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.031234553083777428,2,93,64,support-only-topk,0|tile=0|consumed=|from=-1|flags=1,0,2,0.09907595931694901,True,True,True,True,True,keqingrl_topk_teacher_v1,0.9897662401199341,1.0,0.2,0.9392856359481812,False,0.0,"[8,0,1]","[""0|tile=13|consumed=|from=-1|flags=0"",""0|tile=0|consumed=|from=-1|flags=1"",""0|tile=1|consumed=|from=-1|flags=0""]","[0.0,-3.0,-3.00099993]",2.0,rule-component-v1,topk_distribution,1.0,3,"[0.21938708,0.56122577,0.21938708]","[0.375,1.31428564,0.375]",action_feature_component_reranker_v1,-1.5,0.03,teacher-ce,3,8,0.0,0.75
0|tile=1|consumed=|from=-1|flags=0,0,0,0,False,True,0.75,all,3,-0.9164880514144897,-0.7150896191596985,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,e32c5b3d,3,0,13,0.0,3,0.003,-1.3406846523284912,-0.3425736427307129,rulebase,zero,0,3.0,0.6274993419647217,tempered_current_logits,0,-1.0576632022857666,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03124135173857212,2,93,80,support-only-topk,0|tile=10|consumed=|from=-1|flags=1,1,1,0.038334699822956786,False,True,False,True,True,keqingrl_topk_teacher_v1,1.05649733543396,1.0,0.2,0.4249999523162842,True,0.0,"[1,0,2]","[""0|tile=10|consumed=|from=-1|flags=1"",""0|tile=1|consumed=|from=-1|flags=0"",""0|tile=19|consumed=|from=-1|flags=0""]","[0.0,-3.0,-3.00200009]",1.0,rule-component-v1,topk_distribution,1.0,3,"[0.46503946,0.30402878,0.23093177]","[0.79999995,0.375,0.09999999]",action_feature_component_reranker_v1,-1.5,0.03,teacher-ce,3,8,0.0,0.75
0|tile=19|consumed=|from=-1|flags=0,1,0,0,False,True,0.75,all,3,-0.9878191947937012,-0.7762047648429871,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,topk,3,0.01,e32c5b3d,3,0,13,0.0,3,0.003,-1.3408255577087402,-0.3202687203884125,rulebase,zero,0,3.000999927520752,0.6275189518928528,tempered_current_logits,0,-1.0964734554290771,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03121110424399376,2,93,96,support-only-topk,0|tile=2|consumed=|from=-1|flags=0,2,3,0.016599702164580288,False,True,False,False,True,keqingrl_topk_teacher_v1,1.0803756713867188,1.0,0.2,0.19999998807907104,False,0.0,"[0,1,2]","[""0|tile=10|consumed=|from=-1|flags=0"",""0|tile=19|consumed=|from=-1|flags=0"",""0|tile=2|consumed=|from=-1|flags=0""]","[0.0,-3.00099993,-3.00200009]",2.0,rule-component-v1,topk_distribution,1.0,3,"[0.33546072,0.25480661,0.40973264]","[0.375,0.09999999,0.57499999]",action_feature_component_reranker_v1,-1.5,0.03,teacher-ce,3,8,0.0,0.75
0|tile=2|consumed=|from=-1|flags=0,2,0,0,False,True,0.75,all,3,-1.0547034740447998,-0.8335099816322327,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.002000093460083,0.75,topk,3,0.01,e32c5b3d,3,0,13,0.0,3,0.003,-1.341118335723877,-0.30463898181915283,rulebase,zero,0,3.0,0.6274993419647217,tempered_current_logits,0,-1.1381490230560303,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.031178927049040794,3,93,112,support-only-topk,0|tile=18|consumed=|from=-1|flags=1,0,2,0.12346280768260864,True,True,True,True,True,keqingrl_topk_teacher_v1,0.9629745483398438,1.0,0.2,0.9464284777641296,False,0.0,"[1,0,2]","[""0|tile=10|consumed=|from=-1|flags=0"",""0|tile=18|consumed=|from=-1|flags=1"",""0|tile=2|consumed=|from=-1|flags=0""]","[0.0,-3.0,-3.00200009]",3.0,rule-component-v1,topk_distribution,1.0,3,"[0.18627745,0.58620274,0.2275198]","[0.375,1.52142847,0.57499999]",action_feature_component_reranker_v1,-1.5,0.03,teacher-ce,3,8,0.0,0.75
0|tile=10|consumed=|from=-1|flags=0,1,0,0,False,True,0.75,all,3,-1.1384471654891968,-0.9052599668502808,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,e32c5b3d,3,0,13,0.0,3,0.003,-0.7406953573226929,-0.2781519889831543,rulebase,zero,0,3.0,0.6274993419647217,tempered_current_logits,0,-1.183411955833435,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,True,0.6274993419647217,1,93,128,support-only-topk,0|tile=18|consumed=|from=-1|flags=1,0,2,0.1534123683731945,True,True,True,True,True,keqingrl_topk_teacher_v1,0.9300715923309326,1.0,0.2,1.0321428775787354,False,0.0,"[1,0,2]","[""0|tile=10|consumed=|from=-1|flags=0"",""0|tile=18|consumed=|from=-1|flags=1"",""0|tile=2|consumed=|from=-1|flags=0""]","[0.0,-3.0,-3.00200009]",3.0,rule-component-v1,topk_distribution,1.0,3,"[0.16633038,0.61469054,0.21897906]","[0.375,1.68214285,0.64999998]",action_feature_component_reranker_v1,-1.5,0.03,teacher-ce,3,8,0.0,0.75
0|tile=2|consumed=|from=-1|flags=0,1,0,0,False,True,0.75,all,3,-1.1831417083740234,-0.9435533285140991,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,topk,3,0.01,e32c5b3d,3,0,13,0.0,3,0.003,-1.3409662246704102,-0.28703629970550537,rulebase,zero,0,3.0,0.62740159034729,tempered_current_logits,0,-1.2305896282196045,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03120526671409607,3,93,144,support-only-topk,0|tile=18|consumed=|from=-1|flags=0,0,2,0.06639598742511255,False,True,False,True,True,keqingrl_topk_teacher_v1,1.0256688594818115,1.0,0.2,0.6178572177886963,False,0.0,"[6,0,1]","[""0|tile=13|consumed=|from=-1|flags=0"",""0|tile=18|consumed=|from=-1|flags=0"",""0|tile=2|consumed=|from=-1|flags=0""]","[0.0,-3.0,-3.00099993]",3.0,rule-component-v1,topk_distribution,1.0,3,"[0.21014459,0.51319355,0.27666181]","[0.375,1.26785719,0.64999998]",action_feature_component_reranker_v1,-1.5,0.03,teacher-ce,3,8,0.0,0.75
0|tile=18|consumed=|from=-1|flags=0,0,0,0,False,True,0.75,all,3,-1.2213120460510254,-0.9762569665908813,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,e32c5b3d,3,0,13,0.0,3,0.003,-1.3407732248306274,-0.30314552783966064,rulebase,zero,0,3.0,0.6274211406707764,tempered_current_logits,0,-1.279402494430542,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.031237458810210228,2,93,160,support-only-topk,0|tile=18|consumed=|from=-1|flags=0,0,2,0.11729960672009065,True,True,True,True,True,keqingrl_topk_teacher_v1,0.9697455167770386,1.0,0.2,0.8785713911056519,False,0.0,"[5,0,1]","[""0|tile=13|consumed=|from=-1|flags=0"",""0|tile=18|consumed=|from=-1|flags=0"",""0|tile=20|consumed=|from=-1|flags=0""]","[0.0,-3.0,-3.00099993]",2.0,rule-component-v1,topk_distribution,1.0,3,"[0.23997907,0.57773954,0.18228142]","[0.375,1.25357139,0.09999999]",action_feature_component_reranker_v1,-1.5,0.03,teacher-ce,3,8,0.0,0.75
0|tile=31|consumed=|from=-1|flags=1,13,0,0,False,True,0.75,all,3,-1.2470357418060303,-0.9982965588569641,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,e32c5b3d,3,0,14,0.0,3,0.003,-0.7407495975494385,-0.3310207724571228,rulebase,zero,0,3.0,0.6085076928138733,tempered_current_logits,0,-1.329317331314087,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,True,0.6085076928138733,1,93,176,support-only-topk,0|tile=31|consumed=|from=-1|flags=1,13,1,0.14323791633263994,True,True,False,False,True,keqingrl_topk_teacher_v1,0.9412493705749512,1.0,0.2,0.1499999761581421,True,0.0,"[13,0,1]","[""0|tile=31|consumed=|from=-1|flags=1"",""0|tile=18|consumed=|from=-1|flags=0"",""0|tile=20|consumed=|from=-1|flags=0""]","[0.0,-3.0,-3.00099993]",1.0,rule-component-v1,topk_distribution,1.0,3,"[0.48549798,0.41787198,0.09663001]","[1.71428573,1.56428576,0.09999999]",action_feature_component_reranker_v1,-1.5,0.03,teacher-ce,3,8,0.0,0.75
0|tile=13|consumed=|from=-1|flags=0,5,0,0,False,True,0.75,all,3,-1.3448859453201294,-1.0821326971054077,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,e32c5b3d,3,0,13,0.0,3,0.003,-0.7407481074333191,-0.30129122734069824,rulebase,zero,0,3.0,0.6274211406707764,tempered_current_logits,0,-1.383423924446106,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,True,0.6274211406707764,1,93,192,support-only-topk,0|tile=18|consumed=|from=-1|flags=0,0,2,0.19037410420420176,True,True,True,True,True,keqingrl_topk_teacher_v1,0.8894649744033813,1.0,0.2,1.1749999523162842,False,0.0,"[5,0,1]","[""0|tile=13|consumed=|from=-1|flags=0"",""0|tile=18|consumed=|from=-1|flags=0"",""0|tile=20|consumed=|from=-1|flags=0""]","[0.0,-3.0,-3.00099993]",2.0,rule-component-v1,topk_distribution,1.0,3,"[0.20009144,0.64792466,0.15198389]","[0.375,1.54999995,0.09999999]",action_feature_component_reranker_v1,-1.5,0.03,teacher-ce,3,8,0.0,0.75
0|tile=0|consumed=|from=-1|flags=1,0,0,0,False,True,0.75,all,3,-1.3543723821640015,-1.0902605056762695,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,topk,3,0.01,e32c5b3d,3,0,13,0.0,3,0.003,-0.7406643629074097,-0.34767651557922363,rulebase,zero,0,3.000999927520752,0.6275189518928528,tempered_current_logits,0,-1.4379370212554932,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,True,0.6275189518928528,1,93,208,support-only-topk,0|tile=0|consumed=|from=-1|flags=1,0,1,0.13972298528140936,True,True,False,False,True,keqingrl_topk_teacher_v1,0.9451109170913696,1.0,0.2,0.1499999761581421,True,0.0,"[0,1,2]","[""0|tile=0|consumed=|from=-1|flags=1"",""0|tile=18|consumed=|from=-1|flags=0"",""0|tile=20|consumed=|from=-1|flags=0""]","[0.0,-3.00099993,-3.00200009]",1.0,rule-component-v1,topk_distribution,1.0,3,"[0.48414204,0.41670492,0.099153]","[1.68571424,1.53571427,0.09999999]",action_feature_component_reranker_v1,-1.5,0.03,teacher-ce,3,8,0.0,0.75
0|tile=20|consumed=|from=-1|flags=0,1,0,0,False,True,0.75,all,3,-1.5306146144866943,-1.2412614822387695,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,topk,3,0.01,e32c5b3d,3,0,12,0.0,3,0.003,-1.3408241271972656,-0.25873857736587524,rulebase,zero,0,3.000999927520752,0.6475072503089905,tempered_current_logits,0,-1.5,-1.5,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03220526874065399,2,93,224,support-only-topk,0|tile=18|consumed=|from=-1|flags=0,0,1,0.15072926708267553,True,True,True,True,True,keqingrl_topk_teacher_v1,0.9330192804336548,1.0,0.2,0.8714286088943481,True,0.0,"[0,1,2]","[""0|tile=18|consumed=|from=-1|flags=0"",""0|tile=20|consumed=|from=-1|flags=0"",""0|tile=3|consumed=|from=-1|flags=0""]","[0.0,-3.00099993,-3.00200009]",1.0,rule-component-v1,topk_distribution,1.0,3,"[0.60251039,0.14542732,0.25206232]","[1.52142859,0.09999999,0.64999998]",action_feature_component_reranker_v1,-1.5,0.03,teacher-ce,3,8,0.0,0.75
0|tile=8|consumed=|from=-1|flags=0,8,0,0,False,True,0.75,all,3,0.32735440135002136,0.35061097145080566,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,6ec51ea7,0,0,13,0.0,3,0.003,-0.7407390475273132,-0.08295153826475143,rulebase,zero,0,3.0,0.6273627877235413,tempered_current_logits,0,0.26765942573547363,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,True,0.6273627877235413,1,93,0,support-only-topk,0|tile=0|consumed=|from=-1|flags=1,0,2,0.12976875219459394,True,True,True,True,True,keqingrl_topk_teacher_v1,0.9560467600822449,1.0,0.2,0.574999988079071,False,0.0,"[8,0,1]","[""0|tile=8|consumed=|from=-1|flags=0"",""0|tile=0|consumed=|from=-1|flags=1"",""0|tile=1|consumed=|from=-1|flags=0""]","[0.0,-3.0,-3.00099993]",2.0,rule-component-v1,topk_distribution,1.0,3,"[0.31294164,0.55613816,0.13092023]","[0.97142857,1.54642856,0.09999999]",action_feature_component_reranker_v1,1.0,0.03,teacher-ce,3,8,0.0,0.75
0|tile=0|consumed=|from=-1|flags=0,0,0,0,False,True,0.75,all,3,0.3507772386074066,0.37067922949790955,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,6ec51ea7,0,0,13,0.0,3,0.003,-1.3407618999481201,-0.08448582887649536,rulebase,zero,0,3.0,0.6273044943809509,tempered_current_logits,0,0.2861934006214142,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.031231651082634926,2,93,16,support-only-topk,0|tile=28|consumed=|from=-1|flags=0,11,1,0.08299395344617977,False,True,False,False,True,keqingrl_topk_teacher_v1,1.0074341297149658,1.0,0.2,0.07499992847442627,True,0.0,"[11,0,1]","[""0|tile=28|consumed=|from=-1|flags=0"",""0|tile=0|consumed=|from=-1|flags=0"",""0|tile=1|consumed=|from=-1|flags=0""]","[0.0,-3.0,-3.00099993]",1.0,rule-component-v1,topk_distribution,1.0,3,"[0.44282165,0.41082492,0.14635341]","[1.20714283,1.1321429,0.09999999]",action_feature_component_reranker_v1,1.0,0.03,teacher-ce,3,8,0.0,0.75
