action_canonical_key,action_index,action_type,actor,actor_update_dropped,actor_update_keep,actor_update_margin_threshold,actor_update_support_mode,actor_update_topk,advantage_normalized,advantage_raw,behavior_temperature,checkpoint_path,checkpoint_sha256,clip_eps,config_key,config_key_label,config_path,delta_clip,delta_clip_coef,delta_l2_coef,delta_needed_to_flip_top1,delta_support_margin_threshold,delta_support_mode,delta_support_topk,entropy_coef,episode_id,final_rank,iteration,legal_count,low_rank_flip_penalty_coef,low_rank_flip_topk,lr,old_log_prob,old_value,opponent_mode,outside_support_delta_mode,pilot_config_id,prior_top1_margin_to_second,prior_top1_prob,ratio_mode,rerun_config_id,return,reward,rule_kl_coef,rule_score_scale,rule_score_scale_version,selected_is_prior_top1,selected_prior_prob,selected_prior_rank,source_config_id,step_index,support_policy_mode,teacher_best_action_canonical_key,teacher_best_action_index,teacher_best_prior_rank,teacher_confidence,teacher_confidence_entropy_pass,teacher_confidence_gate,teacher_confidence_gate_keep,teacher_confidence_margin_pass,teacher_confidence_prior_agree_pass,teacher_contract_version,teacher_entropy,teacher_entropy_max,teacher_margin_min,teacher_margin_top1_to_second,teacher_prior_agree,teacher_prior_agree_min,teacher_prior_topk_action_indices_json,teacher_prior_topk_actions_json,teacher_prior_topk_logits_json,teacher_rule_top1_rank,teacher_source,teacher_target_type,teacher_temperature,teacher_topk,teacher_topk_probs_json,teacher_topk_row_valid,teacher_topk_scores_json,teacher_version,terminal_reward,topk_ranking_aux_coef,topk_ranking_aux_mode,topk_ranking_k,update_epochs,weak_margin_flip_penalty_coef,weak_margin_threshold
0|tile=27|consumed=|from=-1|flags=0,10,0,0,False,True,0.75,topk,3,-0.5179644823074341,0.19708238542079926,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,c5861a20,1,0,12,0.0,3,0.01,-0.740744948387146,-0.1358184963464737,rulebase,zero,0,3.0,0.6472995281219482,tempered_current_logits,0,0.06126388907432556,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,True,0.6472995281219482,1,93,0,support-only-topk,0|tile=0|consumed=|from=-1|flags=0,0,2,0.9565116497128636,True,False,True,True,True,keqingrl_topk_teacher_v1,0.04777683690190315,1000000000.0,0.0,4.969964981079102,False,0.0,"[10,0,1]","[""0|tile=27|consumed=|from=-1|flags=0"",""0|tile=0|consumed=|from=-1|flags=0"",""0|tile=10|consumed=|from=-1|flags=0""]","[0.0,-3.0,-3.00099993]",3.0,mortal-action-q,topk_distribution,1.0,3,"[0.00081633,0.99229383,0.00688988]",True,"[-6.80875158,0.29420769,-4.67575741]",mortal_action_teacher_v1,0.5,10.0,teacher-ce,3,4,0.0,0.75
0|tile=0|consumed=|from=-1|flags=0,0,0,0,False,True,0.75,topk,3,-0.491107702255249,0.21167190372943878,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,topk,3,0.01,c5861a20,1,0,12,0.0,3,0.01,-0.7406682372093201,-0.13982442021369934,rulebase,zero,0,3.000999927520752,0.6475072503089905,tempered_current_logits,0,0.07184748351573944,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,True,0.6475072503089905,1,93,16,support-only-topk,0|tile=0|consumed=|from=-1|flags=0,0,1,0.8305726707356084,True,False,True,True,True,keqingrl_topk_teacher_v1,0.1861349493265152,1000000000.0,0.0,3.039818286895752,True,0.0,"[0,1,2]","[""0|tile=0|consumed=|from=-1|flags=0"",""0|tile=10|consumed=|from=-1|flags=0"",""0|tile=19|consumed=|from=-1|flags=0""]","[0.0,-3.00099993,-3.00200009]",1.0,mortal-action-q,topk_distribution,1.0,3,"[0.95428634,0.04565648,5.719e-05]",True,"[0.16153359,-2.87828469,-9.5607605]",mortal_action_teacher_v1,0.5,10.0,teacher-ce,3,4,0.0,0.75
0|tile=10|consumed=|from=-1|flags=0,1,0,0,False,True,0.75,topk,3,-0.4331147372722626,0.24317558109760284,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,topk,3,0.01,c5861a20,1,0,12,0.0,3,0.01,-1.3408421277999878,-0.15916931629180908,rulebase,zero,0,3.000999927520752,0.6475072503089905,tempered_current_logits,0,0.08400626480579376,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03220526874065399,2,93,32,support-only-topk,0|tile=0|consumed=|from=-1|flags=1,0,1,0.9588407031902071,True,False,True,True,True,keqingrl_topk_teacher_v1,0.04521811008453369,1000000000.0,0.0,4.864026069641113,True,0.0,"[0,1,2]","[""0|tile=0|consumed=|from=-1|flags=1"",""0|tile=10|consumed=|from=-1|flags=0"",""0|tile=19|consumed=|from=-1|flags=0""]","[0.0,-3.00099993,-3.00200009]",1.0,mortal-action-q,topk_distribution,1.0,3,"[0.99231684,0.00766003,2.313e-05]",True,"[0.05895734,-4.80506897,-10.60789299]",mortal_action_teacher_v1,0.5,10.0,teacher-ce,3,4,0.0,0.75
0|tile=19|consumed=|from=-1|flags=0,1,0,0,False,True,0.75,topk,3,-0.4504183828830719,0.23377567529678345,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,topk,3,0.01,c5861a20,1,0,11,0.0,3,0.01,-1.340807557106018,-0.1380806267261505,rulebase,zero,0,3.000999927520752,0.6688328385353088,tempered_current_logits,0,0.09569504857063293,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03326594457030296,2,93,48,support-only-topk,0|tile=0|consumed=|from=-1|flags=0,0,1,0.9985447866329807,True,False,True,True,True,keqingrl_topk_teacher_v1,0.00159871531650424,1000000000.0,0.0,9.360969543457031,True,0.0,"[0,1,2]","[""0|tile=0|consumed=|from=-1|flags=0"",""0|tile=19|consumed=|from=-1|flags=0"",""0|tile=21|consumed=|from=-1|flags=0""]","[0.0,-3.00099993,-3.00200009]",1.0,mortal-action-q,topk_distribution,1.0,3,"[0.99984729,6.665e-05,8.6e-05]",True,"[0.21621752,-9.39965057,-9.1447525]",mortal_action_teacher_v1,0.5,10.0,teacher-ce,3,4,0.0,0.75
0|tile=0|consumed=|from=-1|flags=0,0,0,0,False,True,0.75,topk,3,-0.20211423933506012,0.3686627149581909,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,topk,3,0.01,c5861a20,1,0,11,0.0,3,0.01,-0.7406598329544067,-0.254534512758255,rulebase,zero,0,3.000999927520752,0.6688328385353088,tempered_current_logits,0,0.11412820219993591,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,True,0.6688328385353088,1,93,64,support-only-topk,0|tile=0|consumed=|from=-1|flags=0,0,1,0.7870970058251955,True,False,True,True,True,keqingrl_topk_teacher_v1,0.2338978499174118,1000000000.0,0.0,2.729802131652832,True,0.0,"[0,1,2]","[""0|tile=0|consumed=|from=-1|flags=0"",""0|tile=19|consumed=|from=-1|flags=1"",""0|tile=21|consumed=|from=-1|flags=0""]","[0.0,-3.00099993,-3.00200009]",1.0,mortal-action-q,topk_distribution,1.0,3,"[0.93837446,0.06121223,0.00041337]",True,"[0.16383922,-2.56596279,-7.56371403]",mortal_action_teacher_v1,0.5,10.0,teacher-ce,3,4,0.0,0.75
"5|tile=19|consumed=19,19|from=3|flags=0",0,5,0,False,True,0.75,topk,3,-0.12935997545719147,0.4081852436065674,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,5.0,0.75,topk,3,0.01,c5861a20,1,0,2,0.0,3,0.01,-1.31326425075531,-0.2736477851867676,rulebase,zero,0,5.0,0.9933071732521057,tempered_current_logits,0,0.1345374584197998,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.006692850962281227,2,93,77,support-only-topk,9|tile=-1|consumed=|from=-1|flags=0,1,1,0.0,True,False,False,True,True,keqingrl_topk_teacher_v1,1.0986123085021973,1000000000.0,0.0,0.0,True,0.0,"[1,0,0]","[""9|tile=-1|consumed=|from=-1|flags=0"",""5|tile=19|consumed=19,19|from=3|flags=0"",""5|tile=19|consumed=19,19|from=3|flags=0""]","[0.0,-5.0,-5.0]",1.0,mortal-action-q,topk_distribution,1.0,3,"[0.33333334,0.33333334,0.33333334]",False,"[0.0,0.0,0.0]",mortal_action_teacher_v1,0.5,10.0,teacher-ce,3,4,0.0,0.75
0|tile=22|consumed=|from=-1|flags=0,1,0,0,False,True,0.75,topk,3,-0.20890246331691742,0.36497512459754944,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,topk,3,0.01,c5861a20,1,0,9,0.0,3,0.01,-1.3409690856933594,-0.21218891441822052,rulebase,zero,0,3.0,0.715867817401886,tempered_current_logits,0,0.15278621017932892,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03560533747076988,3,93,78,support-only-topk,0|tile=31|consumed=|from=-1|flags=0,8,1,0.8887466758277173,True,False,True,True,True,keqingrl_topk_teacher_v1,0.12222427129745483,1000000000.0,0.0,4.366830825805664,True,0.0,"[8,0,1]","[""0|tile=31|consumed=|from=-1|flags=0"",""0|tile=21|consumed=|from=-1|flags=0"",""0|tile=22|consumed=|from=-1|flags=0""]","[0.0,-3.0,-3.00099993]",1.0,mortal-action-q,topk_distribution,1.0,3,"[0.97768927,0.01240824,0.00990247]",True,"[-2.93271828,-7.2995491,-7.5251255]",mortal_action_teacher_v1,0.5,10.0,teacher-ce,3,4,0.0,0.75
0|tile=21|consumed=|from=-1|flags=0,0,0,0,False,True,0.75,topk,3,-0.10257983952760696,0.4227330982685089,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,topk,3,0.01,c5861a20,1,0,8,0.0,3,0.01,-0.7406519651412964,-0.24881024658679962,rulebase,zero,0,3.000999927520752,0.7423250079154968,tempered_current_logits,0,0.1739228516817093,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,True,0.7423250079154968,1,93,94,support-only-topk,0|tile=21|consumed=|from=-1|flags=0,0,1,0.5148790754341335,True,False,True,True,True,keqingrl_topk_teacher_v1,0.5329598188400269,1000000000.0,0.0,1.6549464464187622,True,0.0,"[0,1,2]","[""0|tile=21|consumed=|from=-1|flags=0"",""0|tile=5|consumed=|from=-1|flags=0"",""0|tile=14|consumed=|from=-1|flags=0""]","[0.0,-3.00099993,-3.00200009]",1.0,mortal-action-q,topk_distribution,1.0,3,"[0.82195216,0.02097094,0.15707694]",True,"[-0.89118135,-4.55972624,-2.5461278]",mortal_action_teacher_v1,0.5,10.0,teacher-ce,3,4,0.0,0.75
0|tile=14|consumed=|from=-1|flags=0,1,0,0,False,True,0.75,topk,3,0.00757230119779706,0.48257139325141907,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,topk,3,0.01,c5861a20,1,0,7,0.0,3,0.01,-1.3409459590911865,-0.2845199704170227,rulebase,zero,0,3.0,0.7704296708106995,tempered_current_logits,0,0.19805142283439636,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03831909969449043,3,93,110,support-only-topk,0|tile=31|consumed=|from=-1|flags=0,6,1,0.3528606436665268,True,False,True,True,True,keqingrl_topk_teacher_v1,0.7109552621841431,1000000000.0,0.0,0.28127026557922363,True,0.0,"[6,0,1]","[""0|tile=31|consumed=|from=-1|flags=0"",""0|tile=5|consumed=|from=-1|flags=0"",""0|tile=14|consumed=|from=-1|flags=0""]","[0.0,-3.0,-3.00099993]",1.0,mortal-action-q,topk_distribution,1.0,3,"[0.5670653,0.00489999,0.42803466]",True,"[-1.06407702,-5.81531763,-1.34534729]",mortal_action_teacher_v1,0.5,10.0,teacher-ce,3,4,0.0,0.75
0|tile=20|consumed=|from=-1|flags=1,0,0,0,False,True,0.75,topk,3,0.21103748679161072,0.5931004285812378,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,topk,3,0.01,c5861a20,1,0,7,0.0,3,0.01,-0.7406601309776306,-0.3653939962387085,rulebase,zero,0,3.000999927520752,0.7706065773963928,tempered_current_logits,0,0.2277064323425293,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,True,0.7706065773963928,1,93,126,support-only-topk,0|tile=20|consumed=|from=-1|flags=1,0,1,0.9975634255781195,True,False,True,True,True,keqingrl_topk_teacher_v1,0.002676850650459528,1000000000.0,0.0,8.615423202514648,True,0.0,"[0,1,2]","[""0|tile=20|consumed=|from=-1|flags=1"",""0|tile=5|consumed=|from=-1|flags=0"",""0|tile=7|consumed=|from=-1|flags=0""]","[0.0,-3.00099993,-3.00200009]",1.0,mortal-action-q,topk_distribution,1.0,3,"[0.99972814,0.00018124,9.062e-05]",True,"[0.38156569,-8.23385715,-8.92704296]",mortal_action_teacher_v1,0.5,10.0,teacher-ce,3,4,0.0,0.75
9|tile=-1|consumed=|from=-1|flags=0,1,9,0,False,True,0.75,topk,3,0.24330224096775055,0.6106277108192444,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,5.0,0.75,topk,3,0.01,c5861a20,1,0,2,0.0,3,0.01,-0.3132631480693817,-0.3523898720741272,rulebase,zero,0,5.0,0.9933071732521057,tempered_current_logits,0,0.2582378387451172,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,True,0.9933071732521057,1,93,136,support-only-topk,9|tile=-1|consumed=|from=-1|flags=0,1,1,0.0,True,False,False,True,True,keqingrl_topk_teacher_v1,1.0986123085021973,1000000000.0,0.0,0.0,True,0.0,"[1,0,0]","[""9|tile=-1|consumed=|from=-1|flags=0"",""5|tile=16|consumed=16,16|from=2|flags=0"",""5|tile=16|consumed=16,16|from=2|flags=0""]","[0.0,-5.0,-5.0]",1.0,mortal-action-q,topk_distribution,1.0,3,"[0.33333334,0.33333334,0.33333334]",False,"[0.0,0.0,0.0]",mortal_action_teacher_v1,0.5,10.0,teacher-ce,3,4,0.0,0.75
0|tile=5|consumed=|from=-1|flags=0,1,0,0,False,True,0.75,topk,3,0.49937984347343445,0.749737560749054,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,topk,3,0.01,c5861a20,1,0,7,0.0,3,0.01,-1.3408584594726562,-0.4540128707885742,rulebase,zero,0,3.000999927520752,0.7706065773963928,tempered_current_logits,0,0.29572468996047974,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.0383278951048851,2,93,142,support-only-topk,0|tile=11|consumed=|from=-1|flags=1,0,1,0.9871990883510413,True,False,True,True,True,keqingrl_topk_teacher_v1,0.014063239097595215,1000000000.0,0.0,6.986995697021484,True,0.0,"[0,1,2]","[""0|tile=11|consumed=|from=-1|flags=1"",""0|tile=5|consumed=|from=-1|flags=0"",""0|tile=7|consumed=|from=-1|flags=0""]","[0.0,-3.00099993,-3.00200009]",1.0,mortal-action-q,topk_distribution,1.0,3,"[0.99825066,0.0009222,0.0008271]",True,"[0.64426601,-6.34272957,-6.45157051]",mortal_action_teacher_v1,0.5,10.0,teacher-ce,3,4,0.0,0.75
0|tile=5|consumed=|from=-1|flags=0,1,0,0,False,True,0.75,topk,3,0.6897810101509094,0.8531697988510132,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,topk,3,0.01,c5861a20,1,0,8,0.0,3,0.01,-1.3409740924835205,-0.5147866010665894,rulebase,zero,0,3.0,0.742133617401123,tempered_current_logits,0,0.33838319778442383,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.0369117297232151,3,93,158,support-only-topk,0|tile=5|consumed=|from=-1|flags=0,1,3,0.26951609773967133,True,False,True,True,True,keqingrl_topk_teacher_v1,0.8025186061859131,1000000000.0,0.0,0.3952691853046417,False,0.0,"[7,0,1]","[""0|tile=31|consumed=|from=-1|flags=0"",""0|tile=11|consumed=|from=-1|flags=0"",""0|tile=5|consumed=|from=-1|flags=0""]","[0.0,-3.0,-3.00099993]",3.0,mortal-action-q,topk_distribution,1.0,3,"[0.03515203,0.38830256,0.57654536]",True,"[-3.29424214,-0.89213967,-0.49687049]",mortal_action_teacher_v1,0.5,10.0,teacher-ce,3,4,0.0,0.75
0|tile=2|consumed=|from=-1|flags=1,0,0,0,False,True,0.75,topk,3,0.40557289123535156,0.698778510093689,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,topk,3,0.01,c5861a20,1,0,8,0.0,3,0.01,-0.7406524419784546,-0.3254563808441162,rulebase,zero,0,3.000999927520752,0.7423250079154968,tempered_current_logits,0,0.37332212924957275,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,True,0.7423250079154968,1,93,174,support-only-topk,0|tile=11|consumed=|from=-1|flags=0,1,2,0.38726661348280367,True,False,True,True,True,keqingrl_topk_teacher_v1,0.6731564402580261,1000000000.0,0.0,0.4522109031677246,False,0.0,"[0,1,2]","[""0|tile=2|consumed=|from=-1|flags=1"",""0|tile=11|consumed=|from=-1|flags=0"",""0|tile=23|consumed=|from=-1|flags=0""]","[0.0,-3.00099993,-3.00200009]",2.0,mortal-action-q,topk_distribution,1.0,3,"[0.3885856,0.61077237,0.00064202]",True,"[-0.56326962,-0.11105871,-6.96891928]",mortal_action_teacher_v1,0.5,10.0,teacher-ce,3,4,0.0,0.75
0|tile=11|consumed=|from=-1|flags=0,0,0,0,False,True,0.75,topk,3,0.6163350939750671,0.8132715225219727,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,topk,3,0.01,c5861a20,1,0,8,0.0,3,0.01,-0.7406459450721741,-0.39928579330444336,rulebase,zero,0,3.000999927520752,0.7423250079154968,tempered_current_logits,0,0.4139857292175293,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,True,0.7423250079154968,1,93,190,support-only-topk,0|tile=11|consumed=|from=-1|flags=0,0,1,0.9466526976740451,True,False,True,True,True,keqingrl_topk_teacher_v1,0.058608002960681915,1000000000.0,0.0,4.751593112945557,True,0.0,"[0,1,2]","[""0|tile=11|consumed=|from=-1|flags=0"",""0|tile=23|consumed=|from=-1|flags=0"",""0|tile=7|consumed=|from=-1|flags=0""]","[0.0,-3.00099993,-3.00200009]",1.0,mortal-action-q,topk_distribution,1.0,3,"[0.99023086,0.00121562,0.00855354]",True,"[-0.25133193,-6.95401764,-5.00292492]",mortal_action_teacher_v1,0.5,10.0,teacher-ce,3,4,0.0,0.75
0|tile=12|consumed=|from=-1|flags=1,0,0,0,False,True,0.75,topk,3,0.6439850330352783,0.8282918930053711,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,c5861a20,1,0,8,0.0,3,0.01,-1.3407583236694336,-0.3728916049003601,rulebase,zero,0,3.0,0.7421608567237854,tempered_current_logits,0,0.455400288105011,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.0369500108063221,2,93,206,support-only-topk,0|tile=32|consumed=|from=-1|flags=0,6,1,0.9624705215038736,True,False,True,True,True,keqingrl_topk_teacher_v1,0.041230347007513046,1000000000.0,0.0,5.494858264923096,True,0.0,"[6,0,1]","[""0|tile=32|consumed=|from=-1|flags=0"",""0|tile=12|consumed=|from=-1|flags=1"",""0|tile=23|consumed=|from=-1|flags=0""]","[0.0,-3.0,-3.00099993]",1.0,mortal-action-q,topk_distribution,1.0,3,"[0.9938724,0.00204489,0.00408267]",True,"[-2.58587503,-8.7721405,-8.0807333]",mortal_action_teacher_v1,0.5,10.0,teacher-ce,3,4,0.0,0.75
